Lat,Lon,Thickness,Pseudo,Vent Lon,Vent Lat,,42.6666,128.25,50
42.028,128.0673806,150,,128.057,42.006,,42.2389,128.2036111,40
42.01,128.45,110,,,,,42.6666,128.4,40
42.00154444,128.5582139,50,,,,,42.13888889,128.3618194,20
42.08,128.4,50,,,,,42.287,126.601,0.1
42.02,128.4,40,,,,,42.35,127.75,0.1
41.35,134.435,25,,,,,,,
42.20555556,128.3205556,16,,,,,,,
41.873,137.657,11,,,,,,,
40.952,138.667,11,,,,,,,
41.333,130.417,10,,,,,,,
40.75,132.15,9,,,,,,,
40.583,135.433,9,,,,,,,
40.767,133.2,9,,,,,,,
41.147,138,9,,,,,,,
41.005,137.018,8,,,,,,,
41.423,138.26,7.4,,,,,,,
41.1,134.983,6,,,,,,,
41.333,134.5,6,,,,,,,
41.533,131.817,6,,,,,,,
40.317,133.65,6,,,,,,,
40.898,139.015,6,,,,,,,
41.447,140.219,5,,,,,,,
41.768,141.023,5,,,,,,,
40.393,141.49,5,,,,,,,
40.283,132.217,5,,,,,,,
40.707,138.2,4,,,,,,,
40.366,140.664,4,,,,,,,
41.608,140.043,4,,,,,,,
42.044,140.685,4,,,,,,,
40.531,140.919,4,,,,,,,
40.867,132.65,4,,,,,,,
42.632,140.358,4,,,,,,,
41.998,143.253,3.5,,,,,,,
41.833,139.163,3.2,,,,,,,
42.56,135.88,3,,,,,,,
42.077,136.872,3,,,,,,,
41.848,138.033,3,,,,,,,
40.505,132.635,3,,,,,,,
40.823,140.376,3,,,,,,,
41.998,138.668,3,,,,,,,
42.921,131.962,3,,,,,,,
41.838,141.139,3,,,,,,,
42.581,141.905,3,,,,,,,
40.835,144.159,2.5,,,,,,,
41.63,140.427,2.5,,,,,,,
41.781,141.1,2.5,,,,,,,
42.192,142.723,2.5,,,,,,,
41.99,143.245,2.5,,,,,,,
42.557,135.992,2,,,,,,,
40.294,140.129,2,,,,,,,
42.677,141.751,2,,,,,,,
40.75,138.45,2,,,,,,,
43.426,132.782,2,,,,,,,
42.301,140.271,2,,,,,,,
42.319,140.274,2,,,,,,,
42.503,140.798,2,,,,,,,
41.727,132.453,1.5,,,,,,,
42.266,142.513,1.5,,,,,,,
42.228,142.614,1.5,,,,,,,
43.545,133.374,1.25,,,,,,,
41.617,133.983,1,,,,,,,
40.723,136.952,1,,,,,,,
42.498,140.96,1,,,,,,,
42.867,141.642,1,,,,,,,
42.861,143.873,1,,,,,,,
42.737,143.699,1,,,,,,,
42.602,143.544,1,,,,,,,
39.866,143.934,1,,,,,,,
43.538,134.14,1,,,,,,,
42.537,140.399,1,,,,,,,
42.555,140.42,1,,,,,,,
42.395,140.911,1,,,,,,,
42.386,141.076,1,,,,,,,
42.44,141.151,1,,,,,,,
42.56,141.376,1,,,,,,,
42.617,141.782,1,,,,,,,
42.217,142.642,1,,,,,,,
42.137,142.91,1,,,,,,,
42.924,144,0.5,,,,,,,
39.955,139.739,0.2,,,,,,,
35.583,135.884,0.1,,,,,,,
43.14055,131.80944,0.1,,,,,,,
45.431,141.038,0.1,,,,,,,
37.0144,130.266,0.038,,,,,,,
43.17266729,128.9793249,0.1,Yes,,,,,,
41.32019092,126.5042263,0.1,Yes,,,,,,
42.67036337,126.4710883,0.1,Yes,,,,,,
43.35634765,128.057,0.1,Yes,,,,,,
43.17266729,127.1346751,0.1,Yes,,,,,,
41.99177461,126.2465724,0.1,Yes,,,,,,
40.83200197,127.1678371,0.1,Yes,,,,,,
