Lon,Lat,Thickness,Pseudo,Vent Lat,Vent Lon
118.14,-8.27,120,,-8.25,118
118.29,-8.38,90,,,
118.72,-8.45,10,,,
117.8,-8.85,60,,,
118.46,-9.21,20,,,
116.3,-10.78,4,,,
116.34,-8.58,60,,,
116.36,-7.96,12,,,
116.33,-7.86,20,,,
116.05,-8.53,45,,,
115.18,-8.4,30,,,
115.01,-7.55,13,,,
114.37,-8.21,23,,,
113.97,-7.71,5,,,
113.86,-7.01,5,,,
113.7,-7.73,5,,,
113.21,-7.76,5,,,
106.85,-6.21,0.25,,,
102.26,-3.8,0.1,,,
119.41,-5.22,4,,,
118.8,-4.46,3,,,
114.73,4.54,0.1,,,
118.88,-7.2,23,,,
120.2,-7.89,25,,,
129.93,-4.55,0.1,,,
127.83,0.78,0.01,,,
122.6019429,-12.74212891,0.01,Yes,,
113.3980571,-12.74212891,0.1,Yes,,
