Lon,Lat,Thickness,Vent Lon,Vent Lat,,
98.675595,2.880917,500,98.88,2.68,,
94.654333,7.330833,54,,,,
96.267,6.4,40,,,,
90.361,5.384,34,,,,
100.5377056,-0.3362306,23,,,,
100.301297,-0.315675,23,,,,
100.986,5.119,20,,,,
90.219,1.475,20,,,,
91.7662,3.3975,19,,,,
77.163611,20.876667,17.5,,,,
77.2675,20.879167,17.5,,,,
90.017,12.701,12,,,,
89.583,13.05,11,,,,
80.617,4.192,11,,,,
86.732,10.947,11,,,,
88.415,11.18,10.5,,,,
79.446,4.974,10,,,,
83.355,0.332,10,,,,
80.03,4.62,9,,,,
80.126,3.731,9,,,,
90.567,15.167,8,,,,
85.12,4.5,8,,,,
85.338,9.658,8,,,,
89.542,17.4,8,,,,
86.283,8.007,7,,,,
84.533,5.138,6,,,,
78.131,15.325,5,,,,
82.016,24.503,5,,,,
82.017,24.502,5,,,,
82.276,24.541,5,,,,
79.678833,15.99425,5,,,,
78.935333,14.936667,5,,,,
82.017,24.502,4,,,,
110.07,10.5,4,,,,
86.845,14.522,4,,,,
80.388,2.927,4,,,,
112.082,7.182,3.5,,,,
82.018,24.502,3.5,,,,
88.737,11.951,3,,34.45,-11.4,0.00452
78.65,3.8,3,,21.986822,-34.243144,0.00001
88,-3,2.6,,,,
112.332,8.507,2.5,,,,
78.483,-11.933,2.4,,,,
85.328,2.4,2,,,,
76.563,7.132,2,,,,
109.87,8.729,2,,,,
113.29,9.36,2,,,,
90,19.38,2,,,,
77.115833,20.868611,2,,,,
77.7,-9.933,2,,,,
78.533,-11.5,2,,,,
82,-3,1.6,,,,
75,-13.133,1.6,,,,
76,-14,1.6,,,,
79.13,7.858,1,,,,
78.25,-7,1,,,,
102.418,-6.076,1,,,,
64.497,23.122,0.125,,,,
66.483,23.096,0.1,,,,
64.372539,22.970819,0.065,,,,
110.280278,21.146944,0.05,,,,
